id,filename,sourceFile,publicUrl,fileType,currentPageUsage,proposedDepartment,visualSystem,mediaRole,status,leakRisk
28,2026-car.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/2026-car.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
19,2026-droid.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/2026-droid.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
25,2026-mobile.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/2026-mobile.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
22,2026-vr.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/2026-vr.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
14,future-tech-playboy-december-1985.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/future-tech-playboy-december-1985.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
15,future-tech1.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/future-tech1.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
16,future-tech2.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/future-tech2.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
29,grimoire-cross-pollination-hero.png,src/content/blog/a-false-recipe-a-real-image.md,https://cdn.hob.farm/blog/grimoire/grimoire-cross-pollination-hero.png,image,article,workshop-notes,,literal-url,referenced,false
30,grimoire-post-01.png,src/content/blog/a-false-recipe-a-real-image.md,https://cdn.hob.farm/blog/grimoire/grimoire-post-01.png,image,article,workshop-notes,,literal-url,referenced,false
31,grimoire-post-02.png,src/content/blog/a-false-recipe-a-real-image.md,https://cdn.hob.farm/blog/grimoire/grimoire-post-02.png,image,article,workshop-notes,,literal-url,referenced,false
32,grimoire-post-03.png,src/content/blog/a-false-recipe-a-real-image.md,https://cdn.hob.farm/blog/grimoire/grimoire-post-03.png,image,article,workshop-notes,,literal-url,referenced,false
33,genius-system-hero.jpg,src/content/blog/a-world-of-geniuses-needs-a-system.md,https://cdn.hob.farm/blog/genius-system/genius-system-hero.jpg,image,article,essays-arguments,,literal-url,referenced,false
34,genius-system2.jpg,src/content/blog/a-world-of-geniuses-needs-a-system.md,https://cdn.hob.farm/blog/genius-system/genius-system2.jpg,image,article,essays-arguments,,literal-url,referenced,false
35,genius-system3.jpg,src/content/blog/a-world-of-geniuses-needs-a-system.md,https://cdn.hob.farm/blog/genius-system/genius-system3.jpg,image,article,essays-arguments,,literal-url,referenced,false
36,against-slop.png,src/content/blog/against-slop.md,https://cdn.hob.farm/blog/article-hero/against-slop.png,image,article,essays-arguments,,literal-url,referenced,false
37,solo_developer_hero.png,src/content/blog/building-in-public-solo-developer.md,https://cdn.hob.farm/pages/blog/solo_developer_hero.png,image,article,workshop-notes,,literal-url,referenced,false
38,building-in-public.png,src/content/blog/building-in-public.md,https://cdn.hob.farm/pages/blog/building-in-public.png,image,article,workshop-notes,,literal-url,referenced,false
46,additive-color.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/additive-color.png,image,article,workshop-notes,,literal-url,referenced,false
41,atomic-noir.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/atomic-noir.png,image,article,workshop-notes,,literal-url,referenced,false
39,color-becomes-cast-hero.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/color-becomes-cast-hero.png,image,article,workshop-notes,,literal-url,referenced,false
49,em-green.jpg,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/em-green.jpg,image,article,workshop-notes,,literal-url,referenced,false
48,nina-red.jpg,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/nina-red.jpg,image,article,workshop-notes,,literal-url,referenced,false
42,psygoth.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/psygoth.png,image,article,workshop-notes,,literal-url,referenced,false
40,technodelic.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/technodelic.png,image,article,workshop-notes,,literal-url,referenced,false
47,zima-blue.jpg,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/zima-blue.jpg,image,article,workshop-notes,,literal-url,referenced,false
45,zima-em-nina.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/zima-em-nina.png,image,article,workshop-notes,,literal-url,referenced,false
50,zima-nina-em-intros.mp4,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/articles/color-becomes-cast/zima-nina-em-intros.mp4,video,article,workshop-notes,,literal-url,referenced,false
43,homepage-hero-poster.png,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/pages/home/homepage-hero-poster.png,image,article,workshop-notes,,literal-url,referenced,false
44,homepage-hero.mp4,src/content/blog/color-becomes-a-cast.md,https://cdn.hob.farm/pages/home/homepage-hero.mp4,video,article,workshop-notes,,literal-url,referenced,false
51,divisionism-hero.png,src/content/blog/divisionism-was-painting-before-pixels.md,https://cdn.hob.farm/blog/divisionism/divisionism-hero.png,image,article,essays-arguments,,literal-url,referenced,false
52,gary-hero.png,src/content/blog/gary-and-the-fork.md,https://cdn.hob.farm/blog/gary-fork/gary-hero.png?v=20260612,image,article,workshop-notes,,literal-url,referenced,false
53,ggb-hero.png,src/content/blog/goth-get-boots.md,https://cdn.hob.farm/blog/goth-get-boots/ggb-hero.png?v=20260612,image,article,workshop-notes,,literal-url,referenced,false
54,grimoire_knowledge.png,src/content/blog/grimoire-knowledge-graph.md,https://cdn.hob.farm/pages/blog/grimoire_knowledge.png,image,article,workshop-notes,,literal-url,referenced,false
55,hello_world_hero.png,src/content/blog/hello-world.md,https://cdn.hob.farm/pages/blog/hello_world_hero.png,image,article,workshop-notes,,literal-url,referenced,false
56,hobbot_hero.png,src/content/blog/how-hobbot-keeps-the-lights-on.md,https://cdn.hob.farm/pages/blog/hobbot_hero.png,image,article,workshop-notes,,literal-url,referenced,false
57,how-psychedelia-went-beige.png,src/content/blog/how-psychedelia-went-beige.md,https://cdn.hob.farm/blog/article-hero/how-psychedelia-went-beige.png,image,article,essays-arguments,,literal-url,referenced,false
58,agents-structured-data.png,src/content/blog/how-to-fix-slop.md,https://cdn.hob.farm/blog/article-hero/agents-structured-data.png,image,article,workshop-notes,,literal-url,referenced,false
60,bucket-anatomy.png,src/content/blog/instagram-funnel-buckets.md,https://cdn.hob.farm/articles/funnel-buckets/bucket-anatomy.png,image,article,essays-arguments,,literal-url,referenced,false
59,funnel-buckets.png,src/content/blog/instagram-funnel-buckets.md,https://cdn.hob.farm/articles/funnel-buckets/funnel-buckets.png,image,article,essays-arguments,,literal-url,referenced,false
61,hashtag-collapse.png,src/content/blog/instagram-funnel-buckets.md,https://cdn.hob.farm/articles/funnel-buckets/hashtag-collapse.png,image,article,essays-arguments,,literal-url,referenced,false
62,influencer.png,src/content/blog/instagram-funnel-buckets.md,https://cdn.hob.farm/articles/funnel-buckets/influencer.png,image,article,essays-arguments,,literal-url,referenced,false
76,butterfly-dancer.mp4,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/butterfly-dancer.mp4,video,article,workshop-notes,,literal-url,referenced,false
64,chart-graphic.jpg,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/chart-graphic.jpg,image,article,workshop-notes,,literal-url,referenced,false
72,chatgpt-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/chatgpt-grid.png,image,article,workshop-notes,,literal-url,referenced,false
74,chatgpt-web-json.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/chatgpt-web-json.png,image,article,workshop-notes,,literal-url,referenced,false
69,gemini-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/gemini-grid.png,image,article,workshop-notes,,literal-url,referenced,false
70,glm-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/glm-grid.png,image,article,workshop-notes,,literal-url,referenced,false
75,grok-banner.jpg,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/grok-banner.jpg,image,article,workshop-notes,,literal-url,referenced,false
67,grok-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/grok-grid.png,image,article,workshop-notes,,literal-url,referenced,false
63,header-invisible-variable-hobfarm.jpg,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/header-invisible-variable-hobfarm.jpg,image,article,workshop-notes,,literal-url,referenced,false
73,midjourney-mommy-on-the-phonecore.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/midjourney-mommy-on-the-phonecore.png,image,article,workshop-notes,,literal-url,referenced,false
68,qwen-grid.png,src/content/blog/invisible-variable.md,https://cdn.hob.farm/blog/invisible-variable/qwen-grid.png,image,article,workshop-notes,,literal-url,referenced,false
